title,listing_url,area_raw,status,floor,transaction,furnishing,facing,bhk,locality,property_id,scraped_timestamp,price_raw
"4 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2950-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423737303639353531,2500 sqft,Ready to Move,10 out of 21,New Property,Semi-Furnished,North - East,4,"Sector 107, Dadri Road, Noida",4d423737303639353531,2025-10-15T17:58:54.049268+00:00,₹4.40 Cr
"4 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2799-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423734393234333837,2799 sqft,,3 out of 30,Resale,Unfurnished,East,4,"Sector 115, Noida",4d423734393234333837,2025-10-15T17:58:54.057645+00:00,₹4.25 Cr
"3 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2304-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423733363731353533,2304 sqft,,6 out of 29,Resale,Unfurnished,North - East,3,"Sector 115, Noida",4d423733363731353533,2025-10-15T17:58:54.063499+00:00,₹3.10 Cr
"3 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2034-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423737393939333233,2034 sqft,,4 out of 29,Resale,Semi-Furnished,North - East,3,"Sector 115, Noida",4d423737393939333233,2025-10-15T17:58:54.065990+00:00,₹3.35 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423830393239303733,1500 sqft,Ready to Move,16,New Property,Unfurnished,,3,"Noida Extension, Noida",4d423830393239303733,2025-10-15T17:58:54.071491+00:00,₹1.35 Cr
"3 BHK Flat  for Sale in Sector 110, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2794-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-110-in-Noida&id=4d423831333436373637,2794 sqft,Ready to Move,26 out of 30,Resale,Unfurnished,North - West,3,"Sector 110, Dadri Road, Noida",4d423831333436373637,2025-10-15T17:58:54.075191+00:00,₹3.20 Cr
"3 BHK Flat  for Sale in Sector 94, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2105-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-94-in-Noida&id=4d423437343839313131,2105 sqft,Ready to Move,23 out of 44,New Property,Unfurnished,East,3,"Sector 94, Noida Express Way, Noida",4d423437343839313131,2025-10-15T17:58:54.079363+00:00,₹2.90 Cr
"3 BHK Flat  for Sale in Sector 61, Ashok Marg, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-61-in-Noida&id=4d423831313036343639,1650 sqft,Ready to Move,6 out of 8,Resale,Furnished,North - West,3,"Sector 61, Ashok Marg, Noida",4d423831313036343639,2025-10-15T17:58:54.082460+00:00,₹2.21 Cr
"5 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/5-BHK-6939-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423736383031343431,4085 sqft,,16 out of 29,Resale,Semi-Furnished,North - East,5,"Sector 115, Noida",4d423736383031343431,2025-10-15T17:58:54.090689+00:00,₹11 Cr
"4 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3501-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423432363033313037,2827 sqft,Ready to Move,10 out of 30,New Property,Semi-Furnished,East,4,"Sector 107, Dadri Road, Noida",4d423432363033313037,2025-10-15T17:58:54.093309+00:00,₹6.50 Cr
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2405-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739303534313633,2405 sqft,,,New Property,Unfurnished,,4,"Noida Extension, Noida",4d423739303534313633,2025-10-15T17:58:54.095834+00:00,₹2.88 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1357-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739323035363837,1000 sqft,,3 out of 3,New Property,Semi-Furnished,East,3,"Noida Extension, Noida",4d423739323035363837,2025-10-15T17:58:54.104539+00:00,₹1.47 Cr
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2350-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423831343239323937,2350 sqft,,,New Property,Unfurnished,,3,"Sector 150, Pusta Road, Noida",4d423831343239323937,2025-10-15T17:58:54.106554+00:00,₹3.83 Cr
"4 BHK Flat  for Sale in Sector 77, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4075-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-77-in-Noida&id=4d423831353037383833,4075 sqft,,,New Property,Unfurnished,,4,"Sector 77, Noida",4d423831353037383833,2025-10-15T17:58:54.111614+00:00,₹6.11 Cr
"3 BHK Flat  for Sale in Sector 137, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1565-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-137-in-Noida&id=4d423831303931353033,1150 sqft,Ready to Move,14 out of 24,Resale,Semi-Furnished,North - East,3,"Sector 137, Noida Express Way, Noida",4d423831303931353033,2025-10-15T17:58:54.115462+00:00,₹1.22 Cr
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-1995-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739343136333933,1995 sqft,Ready to Move,17 out of 20,Resale,Unfurnished,North - East,4,"Noida Extension, Noida",4d423739343136333933,2025-10-15T17:58:54.118050+00:00,₹1.55 Cr
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423733363237323031,1395 sqft,Ready to Move,,New Property,Unfurnished,,3,"Sector 107, Dadri Road, Noida",4d423733363237323031,2025-10-15T17:58:54.120686+00:00,₹85 Lac
