title,listing_url,status,transaction,furnishing,facing,bhk,locality,property_id,scraped_timestamp,price_in_lacs,total_floors,price_per_sqft,area_sqft_imputed,floor_number
"4 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2950-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423737303639353531,Ready to Move,New Property,Semi-Furnished,North - East,4,"Sector 107, Dadri Road, Noida",4d423737303639353531,2025-10-15T17:58:54.049268+00:00,440.00000000000006,21,88000.00000000001,500.0,10
"4 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2799-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423734393234333837,Unknown,Resale,Unfurnished,East,4,"Sector 115, Noida",4d423734393234333837,2025-10-15T17:58:54.057645+00:00,425.0,30,53191.48936170213,799.0,3
"3 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2304-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423733363731353533,Unknown,Resale,Unfurnished,North - East,3,"Sector 115, Noida",4d423733363731353533,2025-10-15T17:58:54.063499+00:00,310.0,29,101973.68421052632,304.0,6
"3 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2034-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423737393939333233,Unknown,Resale,Semi-Furnished,North - East,3,"Sector 115, Noida",4d423737393939333233,2025-10-15T17:58:54.065990+00:00,335.0,29,985294.1176470588,34.0,4
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423830393239303733,Ready to Move,New Property,Unfurnished,Missing,3,"Noida Extension, Noida",4d423830393239303733,2025-10-15T17:58:54.071491+00:00,135.0,22,27000.0,500.0,16
"3 BHK Flat  for Sale in Sector 110, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2794-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-110-in-Noida&id=4d423831333436373637,Ready to Move,Resale,Unfurnished,North - West,3,"Sector 110, Dadri Road, Noida",4d423831333436373637,2025-10-15T17:58:54.075191+00:00,320.0,30,40302.26700251889,794.0,26
"3 BHK Flat  for Sale in Sector 94, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2105-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-94-in-Noida&id=4d423437343839313131,Ready to Move,New Property,Unfurnished,East,3,"Sector 94, Noida Express Way, Noida",4d423437343839313131,2025-10-15T17:58:54.079363+00:00,290.0,44,276190.4761904762,105.0,23
"3 BHK Flat  for Sale in Sector 61, Ashok Marg, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-61-in-Noida&id=4d423831313036343639,Ready to Move,Resale,Furnished,North - West,3,"Sector 61, Ashok Marg, Noida",4d423831313036343639,2025-10-15T17:58:54.082460+00:00,221.0,8,34000.0,650.0,6
"5 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/5-BHK-6939-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423736383031343431,Unknown,Resale,Semi-Furnished,North - East,5,"Sector 115, Noida",4d423736383031343431,2025-10-15T17:58:54.090689+00:00,1100.0,29,1294117.6470588236,85.0,16
"4 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3501-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423432363033313037,Ready to Move,New Property,Semi-Furnished,East,4,"Sector 107, Dadri Road, Noida",4d423432363033313037,2025-10-15T17:58:54.093309+00:00,650.0,30,78597.33978234582,827.0,10
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2405-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739303534313633,Unknown,New Property,Unfurnished,Missing,4,"Noida Extension, Noida",4d423739303534313633,2025-10-15T17:58:54.095834+00:00,288.0,22,71111.11111111111,405.0,10
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1357-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739323035363837,Unknown,New Property,Semi-Furnished,East,3,"Noida Extension, Noida",4d423739323035363837,2025-10-15T17:58:54.104539+00:00,147.0,3,46519.66372185808,0.0,3
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2350-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423831343239323937,Unknown,New Property,Unfurnished,Missing,3,"Sector 150, Pusta Road, Noida",4d423831343239323937,2025-10-15T17:58:54.106554+00:00,383.0,22,109428.57142857143,350.0,10
"4 BHK Flat  for Sale in Sector 77, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4075-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-77-in-Noida&id=4d423831353037383833,Unknown,New Property,Unfurnished,Missing,4,"Sector 77, Noida",4d423831353037383833,2025-10-15T17:58:54.111614+00:00,611.0,22,814666.6666666666,75.0,10
"3 BHK Flat  for Sale in Sector 137, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1565-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-137-in-Noida&id=4d423831303931353033,Ready to Move,Resale,Semi-Furnished,North - East,3,"Sector 137, Noida Express Way, Noida",4d423831303931353033,2025-10-15T17:58:54.115462+00:00,122.0,24,81333.33333333333,150.0,14
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-1995-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739343136333933,Ready to Move,Resale,Unfurnished,North - East,4,"Noida Extension, Noida",4d423739343136333933,2025-10-15T17:58:54.118050+00:00,155.0,20,15577.88944723618,995.0,17
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423733363237323031,Ready to Move,New Property,Unfurnished,Missing,3,"Sector 107, Dadri Road, Noida",4d423733363237323031,2025-10-15T17:58:54.120686+00:00,85.0,22,21518.98734177215,395.0,10
"5 BHK Flat  for Sale in Sector 75, Noida",https://www.magicbricks.com/propertyDetails/5-BHK-6300-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-75-in-Noida&id=4d423831353930373935,Unknown,New Property,Semi-Furnished,Missing,5,"Sector 75, Noida",4d423831353930373935,2025-10-15T17:58:54.123515+00:00,976.0,22,325333.3333333333,300.0,10
"4 BHK  House for Sale in Sector 105, Noida Express Way Noida",https://www.magicbricks.com/propertyDetails/4-BHK-300-Sq-m-Residential-House-FOR-Sale-Sector-105-in-Noida&id=4d423831303934333633,Ready to Move,Resale,Semi-Furnished,North - East,4,"Sector 105, Noida Express Way Noida",4d423831303934333633,2025-10-15T17:58:54.125974+00:00,925.0,22,46519.66372185808,415.0,10
"4 BHK Flat  for Sale in Sector 121, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2448-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-121-in-Noida&id=4d423736373538373237,Ready to Move,Resale,Semi-Furnished,North - East,4,"Sector 121, Noida",4d423736373538373237,2025-10-15T17:58:54.128585+00:00,545.0,28,94454.07279029462,577.0,2
"4 BHK Flat  for Sale in Sector 128, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4507-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-128-in-Noida&id=4d423737393038363431,Unknown,Resale,Semi-Furnished,North - East,4,"Sector 128, Noida Express Way, Noida",4d423737393038363431,2025-10-15T17:58:54.132864+00:00,1059.0,34,208875.73964497042,507.0,32
"4 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3200-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423830303539343733,Ready to Move,New Property,Unfurnished,North - East,4,"Sector 150, Pusta Road, Noida",4d423830303539343733,2025-10-15T17:58:54.141167+00:00,350.0,24,210843.3734939759,166.0,5
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831363338373931,Ready to Move,Resale,Semi-Furnished,East,3,"Noida Extension, Noida",4d423831363338373931,2025-10-15T17:58:54.147778+00:00,215.0,32,1075000.0,20.0,32
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-1810-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831353838353933,Ready to Move,Resale,Furnished,East,4,"Noida Extension, Noida",4d423831353838353933,2025-10-15T17:58:54.157146+00:00,166.0,22,20493.827160493827,810.0,17
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1755-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423738373031343031,Ready to Move,New Property,Unfurnished,East,3,"Sector 107, Dadri Road, Noida",4d423738373031343031,2025-10-15T17:58:54.173106+00:00,63.0,6,8344.370860927153,755.0,2
"1 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/1-BHK-641-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739363733323231,Ready to Move,New Property,Unfurnished,North,1,"Noida Extension, Noida",4d423739363733323231,2025-10-15T17:58:54.177020+00:00,88.0,20,22000.0,400.0,10
"3 BHK  House for Sale in Sector 144, Noida Express Way Noida",https://www.magicbricks.com/propertyDetails/3-BHK-450-Sq-m-Residential-House-FOR-Sale-Sector-144-in-Noida&id=4d423739363439363931,Ready to Move,Resale,Semi-Furnished,North,3,"Sector 144, Noida Express Way Noida",4d423739363439363931,2025-10-15T17:58:54.179161+00:00,700.0,22,46519.66372185808,415.0,10
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423738353332323733,Ready to Move,Resale,Semi-Furnished,North - East,3,"Noida Extension, Noida",4d423738353332323733,2025-10-15T17:58:54.181596+00:00,215.0,31,1075000.0,20.0,25
"3 BHK Flat  for Sale in Sector 78, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1550-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-78-in-Noida&id=4d423738303238373637,Ready to Move,Resale,Semi-Furnished,East,3,"Sector 78, Noida",4d423738303238373637,2025-10-15T17:58:54.186427+00:00,200.0,20,232558.13953488372,86.0,7
